Group: long_agreeableness, Threshold: 1.0
Group: long_conscientiousness, Threshold: 1.0
Group: long_extroversion, Threshold: 1.0
Group: long_neuroticism, Threshold: 1.0
Group: long_openness, Threshold: 1.0
Group: mid_agreeableness, Threshold: 1.0
Group: mid_conscientiousness, Threshold: 1.0
Group: mid_extroversion, Threshold: 1.0
Group: mid_neuroticism, Threshold: 1.0
Group: mid_openness, Threshold: 1.0
Group: short_agreeableness, Threshold: 1.0
Group: short_conscientiousness, Threshold: 1.0
Group: short_extroversion, Threshold: 1.0
Group: short_neuroticism, Threshold: 1.0
Group: short_openness, Threshold: 1.0
